Male,44,Some college,Scotland,likeOnly,metadata,2,1,4,2,2,3,0.4,-1.0,7,4
Male,44,Some college,Scotland,likeOnly,both,2,2,2,4,4,2,0.4,-1.0,7,4
Male,44,Some college,Scotland,likeOnly,metadata,2,1,4,2,2,4,0.4,-1.0,7,4
Male,44,Some college,Scotland,likeOnly,both,2,2,2,4,4,2,0.0495234086799,-1.0,7,4
Male,44,Some college,Scotland,likeOnly,metadata,1,1,4,2,3,4,0.4,-1.0,7,4
Male,44,Some college,Scotland,likeOnly,linked data,2,1,4,2,2,4,0.4,-1.0,7,4
Male,44,Some college,Scotland,likeOnly,linked data,1,1,4,2,2,4,0.2,-1.0,7,4
Male,44,Some college,Scotland,likeOnly,linked data,1,1,4,2,2,4,0.4,-1.0,7,4
Male,44,Some college,Scotland,likeOnly,linked data,2,2,2,4,2,2,0.0,-1.0,7,4
Male,44,Some college,Scotland,likeOnly,metadata,2,1,4,2,2,4,0.4,-1.0,7,4
Male,44,Some college,Scotland,likeOnly,both,2,1,4,2,2,4,0.4,-1.0,7,4
Male,44,Some college,Scotland,likeOnly,both,1,2,1,5,5,1,0.0,-1.0,7,4
Male,44,Some college,Scotland,likeOnly,linked data,2,1,4,2,2,4,0.4,-1.0,7,4
Male,44,Some college,Scotland,likeOnly,metadata,2,1,4,2,2,4,0.2,-1.0,7,4
Male,44,Some college,Scotland,likeOnly,both,1,1,4,2,2,4,0.4,-1.0,7,4
Male,44,Some college,Scotland,likeOnly,metadata,2,2,3,3,3,3,0.2,-1.0,7,4
Male,44,Some college,Scotland,likeOnly,both,1,1,4,2,2,4,0.4,-1.0,7,4
Male,44,Some college,Scotland,likeOnly,linked data,1,1,4,2,2,4,0.4,-1.0,7,4
Female,37,Advanced graduate or Ph.D.,England,both,linked data,1,1,1,1,1,4,0.2,0.0,4,5
Female,37,Advanced graduate or Ph.D.,England,both,both,2,2,1,5,5,1,0.0589255650989,0.0,4,5
Female,37,Advanced graduate or Ph.D.,England,both,metadata,1,1,4,1,2,4,0.291666666667,0.227062072616,4,5
Female,37,Advanced graduate or Ph.D.,England,both,linked data,1,1,1,1,1,5,0.2,0.0,4,5
Female,37,Advanced graduate or Ph.D.,England,both,linked data,1,1,1,1,1,5,0.2,0.0,4,5
Female,37,Advanced graduate or Ph.D.,England,both,both,1,1,1,1,1,4,0.2,0.0926977029746,4,5
Female,37,Advanced graduate or Ph.D.,England,both,both,1,1,1,1,1,4,0.2,0.0776584765648,4,5
Female,37,Advanced graduate or Ph.D.,England,both,both,1,1,1,1,1,4,0.2,0.113531036308,4,5
Female,37,Advanced graduate or Ph.D.,England,both,both,1,1,1,1,1,4,0.2,0.0,4,5
Female,37,Advanced graduate or Ph.D.,England,both,both,1,1,1,1,1,4,0.0403734495937,0.0308992343249,4,5
Female,37,Advanced graduate or Ph.D.,England,both,linked data,1,1,1,1,1,4,0.2,0.0,4,5
Female,37,Advanced graduate or Ph.D.,England,both,linked data,2,1,4,2,4,3,0.051031036308,0.0,4,5
